ModelName,Technique,Proportion,Step,validation_loss,memory_used,inference_time,f1_score,auc_score
AE512_128x64_cnf_week,ga1week-decoder,90,base_models,0.0010214854264631867,0.56591796875,0.52036452293396,0.8994378513429107,0.9018472566859664
AE512_64x32_cnf_month,ga1week-decoder,90,base_models,0.0015592416748404503,0.26904296875,0.6161601543426514,0.9061925199264255,0.9070627699659958
AE512_128x64_cnf_month,ga1week-decoder,90,base_models,0.0008670719107612967,0.56591796875,0.6064836978912354,0.902676399026764,0.9029500964984837
AE512_256x128_cnf_week,ga1week-decoder,90,base_models,0.0006467662751674652,1.25439453125,0.6234736442565918,0.8939108600125549,0.8968844775296388
AE512_256x128_cnf_month,ga1week-decoder,90,base_models,0.0005835759802721441,1.25439453125,0.7641336917877197,0.8970679975046787,0.8994347945960849
AE512_64x32_cnf_week,ga1week-decoder,90,pruned_models,0.004111597780138254,0.2548828125,0.5375404357910156,0.8628181253879578,0.8654305670434703
AE512_128x64_cnf_week,ga1week-decoder,90,pruned_models,0.0019448293605819345,0.53759765625,0.5687079429626465,0.8765743073047859,0.8803878320007353
AE512_64x32_cnf_month,ga1week-decoder,90,pruned_models,0.016157830134034157,0.2548828125,0.6528670787811279,0.6582278481012658,0.5
AE512_128x64_cnf_month,ga1week-decoder,90,pruned_models,0.0016621995018795133,0.53759765625,0.5464155673980713,0.8771929824561403,0.8804797353184449
AE512_256x128_cnf_week,ga1week-decoder,90,pruned_models,0.0013163004769012332,1.1884765625,0.6557357311248779,0.8833437305053026,0.8860398860398861
AE512_256x128_cnf_month,ga1week-decoder,90,pruned_models,0.0011292353738099337,1.18359375,0.6685690879821777,0.8827838827838828,0.8833976656557302
AE512_64x32_cnf_week,ga1week-decoder,90,fine-tuned_models,0.0018147531663998961,0.2548828125,0.5777323246002197,0.9006785934608267,0.9020770149802407
AE512_128x64_cnf_week,ga1week-decoder,90,fine-tuned_models,0.0010082053486257792,0.53759765625,0.5742406845092773,0.9004383218534753,0.9030190239867658
AE512_64x32_cnf_month,ga1week-decoder,90,fine-tuned_models,0.0015605567023158073,0.2548828125,0.624305248260498,0.9068627450980392,0.9076831173605366
AE512_128x64_cnf_month,ga1week-decoder,90,fine-tuned_models,0.0008561303257010877,0.53759765625,0.6378688812255859,0.9040928527794746,0.9046962595349692
AE512_256x128_cnf_week,ga1week-decoder,90,fine-tuned_models,0.0006596968160010874,1.1884765625,0.6571512222290039,0.8951563458001226,0.8961032993291058
AE512_256x128_cnf_month,ga1week-decoder,90,fine-tuned_models,0.0005807997658848763,1.18359375,0.7891745567321777,0.8959899749373433,0.8987455197132618
AE512_256x128_cnf_month,ga1week-first,70,base_models,0.0005938071990385652,1.25439453125,1.119666576385498,0.8963376784605835,0.8983089789541403
AE512_256x128_cnf_week,ga1week-first,70,base_models,0.0006435004761442542,1.25439453125,0.7423150539398193,0.8946047678795483,0.8975048249241798
AE512_128x64_cnf_month,ga1week-first,70,base_models,0.0008707557572051883,0.56591796875,0.7207019329071045,0.9017693715680293,0.9022837974450878
