ModelName,Technique,Proportion,Step,validation_loss,memory_used,inference_time,f1_score,auc_score
AE512_128x64_cnf_month,ga1week,30,fine-tuned_models,0.001873767701908946,0.3681640625,0.8194749355316162,0.9022277227722773,0.903846153846154
AE512_128x64_cnf_week,ga1week,30,fine-tuned_models,0.001804490340873599,0.3681640625,1.2111191749572754,0.897196261682243,0.8994577704255123
AE512_64x32_cnf_month,ga1week,30,fine-tuned_models,0.003999324515461922,0.17578125,1.08003830909729,0.884781269254467,0.8862696443341603
AE512_64x32_cnf_week,ga1week,30,fine-tuned_models,0.0037397469859570265,0.17578125,0.7341673374176025,0.8884735202492212,0.8909337377079312
AE512_256x128_cnf_month,ga1week,20,base_models,0.0005807892885059118,1.25439453125,0.7315630912780762,0.8968152866242038,0.9008822718500138
AE512_256x128_cnf_week,ga1week,20,base_models,0.0006399417761713266,1.25439453125,0.7969295978546143,0.8941765810895429,0.8969304291884937
AE512_128x64_cnf_month,ga1week,20,base_models,0.0008520659175701439,0.56591796875,0.658186674118042,0.9032258064516129,0.9035474680635971
AE512_128x64_cnf_week,ga1week,20,base_models,0.0010479800403118134,0.56591796875,0.7695722579956055,0.896888346552776,0.8974129216064701
AE512_64x32_cnf_month,ga1week,20,base_models,0.0015433115186169744,0.26904296875,0.6394951343536377,0.905613818630475,0.9069478908188586
AE512_64x32_cnf_week,ga1week,20,base_models,0.0017722328193485737,0.26904296875,0.9041218757629395,0.9013563501849569,0.9026973623747817
AE512_256x128_cnf_month,ga1week,20,pruned_models,0.07620657235383987,0.75341796875,0.7539372444152832,0.6582278481012658,0.5
AE512_256x128_cnf_week,ga1week,20,pruned_models,0.03151584044098854,0.75341796875,0.7476942539215088,0.6582278481012658,0.5
AE512_128x64_cnf_month,ga1week,20,pruned_models,0.06943314522504807,0.33984375,0.7762575149536133,0.6582278481012658,0.5
AE512_128x64_cnf_week,ga1week,20,pruned_models,0.037574030458927155,0.33984375,0.7492680549621582,0.6582278481012658,0.5
AE512_64x32_cnf_month,ga1week,20,pruned_models,0.15661931037902832,0.1611328125,0.8689265251159668,0.6582278481012658,0.5
AE512_64x32_cnf_week,ga1week,20,pruned_models,0.1043577641248703,0.1611328125,0.9398601055145264,0.6582278481012658,0.5
AE512_256x128_cnf_month,ga1week,20,fine-tuned_models,0.0016027091769501567,0.75341796875,0.7000329494476318,0.9009230769230769,0.9021229666390956
AE512_256x128_cnf_week,ga1week,20,fine-tuned_models,0.0014938582899048924,0.75341796875,0.9042563438415527,0.8966376089663761,0.8988603988603989
AE512_128x64_cnf_month,ga1week,20,fine-tuned_models,0.003306006081402302,0.33984375,0.6514627933502197,0.8922702373706635,0.8925879974267071
AE512_128x64_cnf_week,ga1week,20,fine-tuned_models,0.0029589252080768347,0.33984375,0.7144677639007568,0.8983364140480592,0.8996645528903594
AE512_64x32_cnf_month,ga1week,20,fine-tuned_models,0.006386100314557552,0.1611328125,0.8408358097076416,0.8674698795180723,0.8666023343442698
AE512_64x32_cnf_week,ga1week,20,fine-tuned_models,0.006224813871085644,0.1611328125,0.9275972843170166,0.8666666666666667,0.8664874551971327
AE512_256x128_cnf_month,ga1week,10,base_models,0.00058122439077124,1.25439453125,0.8511431217193604,0.8980582524271845,0.8981251723187207
AE512_256x128_cnf_week,ga1week,10,base_models,0.0006457905983552337,1.25439453125,0.7265584468841553,0.8973242065961419,0.8994807462549399
AE512_128x64_cnf_month,ga1week,10,base_models,0.0008633576217107475,0.56591796875,1.2815165519714355,0.9037758830694276,0.9041448396287107
AE512_128x64_cnf_week,ga1week,10,base_models,0.0010344964684918523,0.56591796875,0.9395813941955566,0.8991172761664565,0.9022837974450878
AE512_64x32_cnf_month,ga1week,10,base_models,0.0015229916898533702,0.26904296875,0.9220240116119385,0.9073842302878599,0.909727966179579
AE512_64x32_cnf_week,ga1week,10,base_models,0.0018200570484623313,0.26904296875,0.6035952568054199,0.9006134969325154,0.901571546732837
AE512_256x128_cnf_month,ga1week,10,pruned_models,0.11253483593463898,0.68994140625,0.8285274505615234,0.6582278481012658,0.5
AE512_256x128_cnf_week,ga1week,10,pruned_models,0.11082880944013596,0.68994140625,0.8380296230316162,0.6582278481012658,0.5
AE512_128x64_cnf_month,ga1week,10,pruned_models,0.11975891143083572,0.31103515625,1.1273436546325684,0.6582278481012658,0.5
AE512_128x64_cnf_week,ga1week,10,pruned_models,0.0803929939866066,0.31103515625,0.9479482173919678,0.6582278481012658,0.5
AE512_64x32_cnf_month,ga1week,10,pruned_models,0.15750931203365326,0.14892578125,0.8515357971191406,0.6582278481012658,0.5
AE512_64x32_cnf_week,ga1week,10,pruned_models,0.1060815304517746,0.14892578125,0.8136157989501953,0.6582278481012658,0.5
AE512_256x128_cnf_month,ga1week,10,fine-tuned_models,0.003472142620012164,0.68994140625,0.963021993637085,0.8898408812729498,0.890658027754802
AE512_256x128_cnf_week,ga1week,10,fine-tuned_models,0.0031667037401348352,0.68994140625,0.781059980392456,0.897908979089791,0.8990901571546732
AE512_128x64_cnf_month,ga1week,10,fine-tuned_models,0.006262330804020166,0.31103515625,1.297872543334961,0.8585795097423005,0.8627653708298869
AE512_128x64_cnf_week,ga1week,10,fine-tuned_models,0.007499633356928825,0.31103515625,0.7166116237640381,0.858195211786372,0.8595487547100451
AE512_64x32_cnf_month,ga1week,10,fine-tuned_models,0.01455637626349926,0.14892578125,0.8023076057434082,0.6748573935936815,0.5564975645620807
AE512_64x32_cnf_week,ga1week,10,fine-tuned_models,0.01374246645718813,0.14892578125,0.8198645114898682,0.7109004739336493,0.6690331770976933
